Code;Codelist Code;Codelist Extensible (Yes/No);Codelist Name;CDISC Submission Value;CDISC Preferred Term;CDISC Synonym(s);CDISC Definition;NCI Preferred Term;
C33895;C74456;;Anatomical Location;XIPHOID PROCESS;XIPHOID PROCESS;Xiphoid Process;The cartilage just below the sternal body. (NCI);Xiphoid Process;
C34082;C74456;;Anatomical Location;GASTROINTESTINAL TRACT;GASTROINTESTINAL TRACT;Gastrointestinal Tract;The upper gastrointestinal (GI) tract is comprised of mouth, pharynx, esophagus and stomach while the lower GI tract consists of intestines and anus. The primary function of the GI tract is to ingest, digest, absorb and ultimately excrete food stuff. (NCI);Gastrointestinal Tract;
C43362;C74456;;Anatomical Location;ANUS;ANUS;Anus;The lower opening of the digestive tract, lying in the cleft between the buttocks, through which fecal matter is extruded. (NCI);Anus;
C49018;C74456;;Anatomical Location;REGIONAL LYMPH NODE;REGIONAL LYMPH NODE;Regional Lymph Node;A lymph node that drains lymph from a region of interest. (NCI);Regional Lymph Node;
C52730;C74456;;Anatomical Location;STERNAL MANUBRIUM;STERNAL MANUBRIUM;Sternal Manubrium;The upper segment of the sternum, quadrangular in shape, as well as wider superiorly and narrower inferiorly. The sternal manubrium articulates with the clavicle and first two ribs. (NCI);Sternal Manubrium;
C52745;C74456;;Anatomical Location;PALATINE BONE;PALATINE BONE;Palatine Bone;An irregularly shaped bone positioned at the back part of the nasal cavity between the maxilla and the pterygoid process of the sphenoid. It forms the posterior part of the hard palate and the lateral wall of the nasal fossa and helps to form the floor of the orbit as well as several adjoining parts. (NCI);Palatine Bone;
C52749;C74456;;Anatomical Location;LEG SKIN;LEG SKIN;Leg Skin;The skin or integument surrounding the leg. (NCI);Leg Skin;
C52754;C74456;;Anatomical Location;ARM SKIN;ARM SKIN;Arm Skin;The skin or integument covering the arm. (NCI);Arm Skin;
C52758;C74456;;Anatomical Location;ABDOMINAL SKIN;ABDOMINAL SKIN;Abdominal Skin;The skin or integument surrounding the abdomen. (NCI);Abdominal Skin;
C52759;C74456;;Anatomical Location;RIB 9;RIB 9;Rib 9;The ninth rib counting from the top of the rib cage down. (NCI);Rib 9;
C52760;C74456;;Anatomical Location;RIB 8;RIB 8;Rib 8;The eighth rib counting from the top of the rib cage down. (NCI);Rib 8;
C52761;C74456;;Anatomical Location;RIB 7;RIB 7;Rib 7;The seventh rib counting from the top of the rib cage down. (NCI);Rib 7;
C52762;C74456;;Anatomical Location;RIB 6;RIB 6;Rib 6;The sixth rib counting from the top of the rib cage down. (NCI);Rib 6;
C52763;C74456;;Anatomical Location;RIB 5;RIB 5;Rib 5;The fifth rib counting from the top of the rib cage down. (NCI);Rib 5;
C52764;C74456;;Anatomical Location;RIB 4;RIB 4;Rib 4;The fourth rib counting from the top of the rib cage down. (NCI);Rib 4;
C52765;C74456;;Anatomical Location;RIB 3;RIB 3;Rib 3;The third rib counting from the top of the rib cage down. (NCI);Rib 3;
C52766;C74456;;Anatomical Location;RIB 2;RIB 2;Rib 2;The second rib counting from the top of the rib cage down. (NCI);Rib 2;
C52767;C74456;;Anatomical Location;RIB 12;RIB 12;Rib 12;The twelfth rib counting from the top of the rib cage down. (NCI);Rib 12;
C52768;C74456;;Anatomical Location;RIB 11;RIB 11;Rib 11;The eleventh rib counting from the top of the rib cage down. (NCI);Rib 11;
C52769;C74456;;Anatomical Location;RIB 10;RIB 10;Rib 10;The tenth rib counting from the top of the rib cage down. (NCI);Rib 10;
C52770;C74456;;Anatomical Location;RIB 1;RIB 1;Rib 1;The first rib counting from the top of the rib cage down. (NCI);Rib 1;
C52771;C74456;;Anatomical Location;HAND PHALANX;HAND PHALANX;Hand Phalanx;A bone of the hand. (NCI);Hand Phalanx;
C52772;C74456;;Anatomical Location;FOOT PHALANX;FOOT PHALANX;Foot Phalanx;A bone of the foot. (NCI);Foot Phalanx;
C52799;C74456;;Anatomical Location;TALUS;TALUS;Talus;The bone of the foot that connects with the tibia and fibula to form the ankle joint. (NCI);Talus;
C52810;C74456;;Anatomical Location;SCIATIC NERVE;SCIATIC NERVE;Sciatic Nerve;The longest single nerve that is formed by the merging of the ventral rami of the L4, L5, and S1 in the pelvis and passes down the lower limb where it divides into the common peroneal and tibial nerves. (NCI);Sciatic Nerve;
C54272;C74456;;Anatomical Location;THROAT;THROAT;Throat;The narrow passage from the mouth to the cavity at the back of the mouth. (NCI);Throat;
C61563;C74456;;Anatomical Location;FEMORAL NECK;FEMORAL NECK;Femoral Neck;The short, constricted portion of the thigh bone between the femur head and the trochanter. (NCI);Femoral Neck;
C61599;C74456;;Anatomical Location;MALE GENITALIA;MALE GENITALIA;Male Genitalia;Male internal and external organs of reproduction.;Male Genitalia;
C61600;C74456;;Anatomical Location;FEMALE GENITALIA;FEMALE GENITALIA;Female Genitalia;Female internal and external organs of reproduction.;Female Genitalia;
C62432;C74456;;Anatomical Location;UNCINATE PROCESS OF PANCREAS;UNCINATE PROCESS OF PANCREAS;Uncinate Process of Pancreas;A portion of the pancreas that extends behind the superior mesenteric artery and superior mesenteric vein. (NCI);Uncinate Process of Pancreas;
C62484;C74456;;Anatomical Location;CHEST WALL;CHEST WALL;Chest Wall;"The total system of structures outside the lungs that move as a part of breathing; it includes all structures from the skin to the parietal pleura. (NCI)";Chest Wall;
C63705;C74456;;Anatomical Location;INFRACLAVICULAR LYMPH NODE;INFRACLAVICULAR LYMPH NODE;Infraclavicular Lymph Node;A lymph node located in the area below the clavicle. (NCI);Infraclavicular Lymph Node;
C63706;C74456;;Anatomical Location;FACIAL BONE;FACIAL BONE;Facial Bone;Any bone that contributes to the facial structures, except those bones that are part of the braincase. (NCI);Facial Bone;
C64192;C74456;;Anatomical Location;WAIST;WAIST;Waist;The abdominal circumference at the navel. (NCI);Waist;
C64193;C74456;;Anatomical Location;HIP;HIP;Hip;The lateral prominence of the pelvis from the waist to the thigh. (NCI);Hip;
C65166;C74456;;Anatomical Location;CELIAC LYMPH NODE;CELIAC LYMPH NODE;Celiac Lymph Node;A lymph node at the base of the celiac artery. (NCI);Celiac Lymph Node;
C66864;C74456;;Anatomical Location;TOOTH CANAL;TOOTH CANAL;Tooth Canal;The anatomic space in the root of a tooth that contains nerves, blood vessels, and connective tissue. (NCI);Tooth Canal;
C69300;C74456;;Anatomical Location;EPICONDYLE;EPICONDYLE;Epicondyle;A bone prominence to which ligaments and tendons of the joints are attached. (NCI);Epicondyle;
C74558;;Yes;Category for Disposition Event;DSCAT;DSCAT;Category for Disposition Event;Classifications that describe and group pertinent events that occur throughout the conduct of a clinical trial.;CDISC SDTM Category For Disposition Event Terminology;
C74588;C74558;;Category for Disposition Event;PROTOCOL MILESTONE;PROTOCOL MILESTONE;Protocol Milestone;"Occurrences within some epochs that are initiated by a protocol-specified event. The most common protocol milestone is ""Informed Consent Obtained"" which usually documents the start of the study.";Protocol Milestone;
C74589;C74558;;Category for Disposition Event;OTHER EVENT;OTHER EVENT;Other Event;Other important events that occur during a trial but are not driven by protocol requirements.;Protocol Event;
C74590;C74558;;Category for Disposition Event;DISPOSITION EVENT;DISPOSITION EVENT;Disposition Event;The group of incidents that occur during a clinical trial and describe whether a subject completed the study epoch or the reason this event did not occur. The subject's disposition is often described for each phase of the study.;Protocol Disposition Event;
C76351;;Yes;Skin Classification;SKINCLAS;SKINCLAS;Skin Classification;A classification system used to categorize the sensitivity of a subject's skin to sunlight.;CDISC SDTM Fitzpatrick Skin Classification Terminology;
C74569;C76351;;Skin Classification;TYPE1;TYPE1;;Individuals who never tan and always sunburn if exposed to any appreciable amount of sunlight, primarily red headed individuals and lightly complected blondes. (Reference: Fitzpatrick TB: The validity and practicality of sun-reactive skin types I through VI. Arch. Dermatol. 1998 124: 869-871);Fitzpatrick Skin Type I;
C74570;C76351;;Skin Classification;TYPE2;TYPE2;;Individuals who frequently burn but are able to tan to a small degree after extended sun exposure. (Reference: Fitzpatrick TB: The validity and practicality of sun-reactive skin types I through VI. Arch. Dermatol. 1998 124: 869-871);Fitzpatrick Skin Type II;
C74571;C76351;;Skin Classification;TYPE3;TYPE3;;Individuals who burn infrequently and tan readily. (Reference: Fitzpatrick TB: The validity and practicality of sun-reactive skin types I through VI. Arch. Dermatol. 1998 124: 869-871);Fitzpatrick Skin Type III;
C74572;C76351;;Skin Classification;TYPE4;TYPE4;;Individuals who rarely burn and tan heavily with moderate sun exposures, especially individuals of Asian, American Indian, Mediterranean and Latin American descent. (Reference: Fitzpatrick TB: The validity and practicality of sun-reactive skin types I through VI. Arch. Dermatol. 1998 124: 869-871);Fitzpatrick Skin Type IV;
C74573;C76351;;Skin Classification;TYPE5;TYPE5;;Individuals who have dark constitutive pigmentation but become noticeably darker with sun exposure, especially light complected black individuals, those of Indian descent. (Reference: Fitzpatrick TB: The validity and practicality of sun-reactive skin types I through VI. Arch. Dermatol. 1998 124: 869-871);Fitzpatrick Skin Type V;
C74574;C76351;;Skin Classification;TYPE6;TYPE6;;Individuals who have the heaviest constitutive pigmentation, especially dark skinned black individuals. (Reference: Fitzpatrick TB: The validity and practicality of sun-reactive skin types I through VI. Arch. Dermatol. 1998 124: 869-871);Fitzpatrick Skin Type VI;
C74561;;Yes;Skin Type;SKINTYP;SKINTYP;Skin Type;A distinctive characteristic of the skin marked by the amount of sebum secreted by sebaceous glands.;CDISC SDTM Skin Type Terminology;
C74591;C74561;;Skin Type;OILY;OILY;;The pores of the skin are generally large and visible with a coarse or thick texture. It has a tendency to look dull and greasy and feels oily to the touch.;Oily Skin;
C74592;C74561;;Skin Type;DRY;DRY;;The pores are generally fine with a papery thin texture that feels dry to the touch. Usually flaky and dull looking.;Dry Skin;
C74593;C74561;;Skin Type;NORMAL;NORMAL;;The pores are visible but not large. The texture is neither fine or thick and it neither feels dry or oily to the touch.;Normal Skin;
C74559;;Yes;Subject Characteristic Code;SCCD;SCCD;Subject Characteristic Code;A unique code representing each Subject Characteristic.;CDISC SDTM Subject Characteristic Code Terminology;
C17953;C74559;;Subject Characteristic Code;EDLEVEL;EDLEVEL;Education Level;Years of education that a person has completed.;Education Level;
C25188;C74559;;Subject Characteristic Code;MARISTAT;MARISTAT;Marital Status;A demographic parameter indicating a person's current conjugal status.;Marital Status;
C25193;C74559;;Subject Characteristic Code;EMPJOB;EMPJOB;Employee Job;A code specifying the job performed by the employee for the employer. For example, accountant, programmer analyst, patient care associate, staff nurse, etc.;Occupation;
C74563;C74559;;Subject Characteristic Code;SKINCLAS;SKINCLAS;Skin Classification;A classification system used to categorize the sensitivity of a subject's skin to sunlight.;Fitzpatrick Classification Scale;
C74580;C74559;;Subject Characteristic Code;SKINTYP;SKINTYP;Skin Type;A distinctive characteristic of the skin marked by the amount of sebum secreted by sebaceous glands.;Skin Type;
C74565;C74559;;Subject Characteristic Code;JOBCLAS;JOBCLAS;Employee Job Class;A code qualifying the employment in various ways, such as, full-time vs. part time, etc.;Employee Job Class;
C74566;C74559;;Subject Characteristic Code;SALTYP;SALTYP;Employee Salary Type;A code specifying the method used by the employer to compute the employee's salary or wages. For example, hourly, annual, or commission.;Employee Salary Type;
C76348;;Yes;Marital Status;MARISTAT;MARISTAT;Marital Status;A demographic parameter indicating a person's current conjugal status.;Marital Status Terminology;
C76240;C76348;;Marital Status;ANNULLED;ANNULLED;;Marriage contract has been declared null and to not have existed. (HL7);Annulled;
C51776;C76348;;Marital Status;DIVORCED;DIVORCED;;Marriage contract has been declared dissolved and inactive. (HL7);Divorced;
C76241;C76348;;Marital Status;INTERLOCUTORY;INTERLOCUTORY;;Temporary order issued during the course of litigation. (HL7);Interlocutory;
C51777;C76348;;Marital Status;LEGALLY SEPARATED;LEGALLY SEPARATED;;A person living apart from his/her spouse by legal arrangement. (HL7);Separated;
C51773;C76348;;Marital Status;MARRIED;MARRIED;;A current marriage contract is active. (HL7);Married;
C51774;C76348;;Marital Status;NEVER MARRIED;NEVER MARRIED;;No marriage contract has ever been entered. (HL7);Never Married;
C51775;C76348;;Marital Status;WIDOWED;WIDOWED;;The spouse has died. (HL7);Widowed;
C76242;C76348;;Marital Status;POLYGAMOUS;POLYGAMOUS;;More than 1 current spouse. (HL7);Polygamous;
C53262;C76348;;Marital Status;DOMESTIC PARTNER;DOMESTIC PARTNER;;Person declares that a domestic partnership relationship exists. (HL7);Domestic Partnership;
C74457;;Yes;Race;RACE;RACE;Race;Terminology codelist used to identify the race of an individual within the Clinical Data Interchange Standards Consortium Study Data Tabulation Model.;CDISC SDTM Race Terminology;
C16352;C74457;;Race;BLACK OR AFRICAN AMERICAN;BLACK OR AFRICAN AMERICAN;;"A person having origins in any of the black racial groups of Africa. Terms such as ""Haitian"" or ""Negro"" can be used in addition to ""Black or African American."" (FDA)";African American;
C41259;C74457;;Race;AMERICAN INDIAN OR ALASKA NATIVE;AMERICAN INDIAN OR ALASKA NATIVE;;A person having origins in any of the original peoples of North and South America (including Central America), and who maintains tribal affiliation or community attachment. (FDA);American Indian or Alaska Native;
C41260;C74457;;Race;ASIAN;ASIAN;;A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. (FDA);Asian;
C41219;C74457;;Race;NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER;NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER;;Denotes a person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. The term covers particularly people who identify themselves as part-Hawaiian, Native Hawaiian, Guamanian or Chamorro, Carolinian, Samoan, Chuu. (FDA);Native Hawaiian or Other Pacific Islander;
C41261;C74457;;Race;WHITE;WHITE;;Denotes a person with European, Middle Eastern, or North African ancestral origin who identifies, or is identified, as White. (FDA);White;
C78731;;Yes;Drug Accountability Test Name;DATEST;DATEST;Drug Accountability Test Name;The name of the test for the drug accountability assessment.;CDISC SDTM Drug Accountability Test Terminology by Name;
C78721;C78731;;Drug Accountability Test Name;Dispensed Amount;DISPAMT;Dispensed Amount;The quantity of a product that has been dispensed. (NCI);Dispensed Amount;
C78722;C78731;;Drug Accountability Test Name;Returned Amount;RETAMT;Returned Amount;The quantity of a product that has been returned. (NCI);Returned Amount;
C78732;;Yes;Drug Accountability Test Code;DATESTCD;DATESTCD;Drug Accountability Test Code;The short name, or code, of the test for the drug accountability assessment.;CDISC SDTM Drug Accountability Test Terminology by Code;
C78721;C78732;;Drug Accountability Test Code;DISPAMT;DISPAMT;Dispensed Amount;The quantity of a product that has been dispensed. (NCI);Dispensed Amount;
